Bill Date,PayInvoice ID,Bill Number,PurchaseOrder,Bill Status,Is Inclusive Tax,Submitted By,Approved By,Submitted Date,Approved Date,Vendor Name,Location ID,Location Name,Due Date,Currency Code,Exchange Rate,Bill Type,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Brand,Account,Description,Quantity,Usage unit,Line Item Location ID,Line Item Location Name,Rate,Purchase Receive Number,Purchase Order Number,Bill Receive Status,Manually Received Quantity,Customer Name,Tax ID,Tax Name,Tax Percentage,Tax Amount,Tax Type,Is Landed Cost,Item Total,SubTotal,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Entity Discount Percent,Entity Discount Amount,Discount Account,Total,Balance,Adjustment,Adjustment Description,Vendor Notes,Terms & Conditions
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AP Systems Single Phase Bus Cable (4mm2, H07,2.4m)",4602503000003673021,SKU-APSP-01,,,,,APsystems,Inventory Asset,Article No: 2322601403,30.00,pcs,4602503000009244225,Head Office,15.00,PR-00109,PO-029,,,,,,,,,false,450.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,APsystems 3/4-wire Bus Cable End Cap,4602503000002944076,AP-WEC-01,,,,,APsystems,Inventory Asset,Article No: 2060700017,5.00,pcs,4602503000009244225,Head Office,4.00,PR-00109,PO-029,,,,,,,,,false,20.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AC Connector (3 core , two seals, male)",4602503000003673047,SKU-APAC-02,,,,,APsystems,Inventory Asset,Article No: 2300931212,10.00,pcs,4602503000009244225,Head Office,3.00,PR-00109,PO-029,,,,,,,,,false,30.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AC Connector (3 core, two seals, female)",4602503000003673056,SKU-APAC-03,,,,,APsystems,Inventory Asset,Article No: 2300932212,10.00,pcs,4602503000009244225,Head Office,3.00,PR-00109,PO-029,,,,,,,,,false,30.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-03-06,4602503000010306317,2,PO-368,Overdue,false,,,,,Advance Bolts Trading Sdn Bhd,4602503000009244225,Head Office,2025-04-05,MYR,1.00,Bill,"BOLT - SS304, M8 X 20MM X 1.25MM",4602503000000620689,PART-000012,,,,,,Inventory Asset,,3000.00,pcs,4602503000009244225,Head Office,0.26,PR-00106,PO-368,,,,,,,,,false,780.00,1425.00,entity_level,true,0.00,0.0,0.00,0.000,,1425.00,1425.00,0.00,Adjustment,,
2025-03-06,4602503000010306317,2,PO-368,Overdue,false,,,,,Advance Bolts Trading Sdn Bhd,4602503000009244225,Head Office,2025-04-05,MYR,1.00,Bill,"NUT SS304, M8",4602503000000620700,PART-000043,,,,,,Inventory Asset,,3000.00,pcs,4602503000009244225,Head Office,0.095,PR-00106,PO-368,,,,,,,,,false,285.00,1425.00,entity_level,true,0.00,0.0,0.00,0.000,,1425.00,1425.00,0.00,Adjustment,,
2025-03-06,4602503000010306317,2,PO-368,Overdue,false,,,,,Advance Bolts Trading Sdn Bhd,4602503000009244225,Head Office,2025-04-05,MYR,1.00,Bill,S/S A2 Flat Washer M8(8.5 x 22OD x 1.5mm),4602503000005320104,SKU-M8-01,,,,,,Inventory Asset,,3000.00,pcs,4602503000009244225,Head Office,0.12,PR-00106,PO-368,,,,,,,,,false,360.00,1425.00,entity_level,true,0.00,0.0,0.00,0.000,,1425.00,1425.00,0.00,Adjustment,,
2025-03-07,4602503000010411973,67,PO-488,Overdue,false,,,,,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,Inches screw c/w with wall plug 6mm x 2,4602503000002163631,T-445,,,,,,Inventory Asset,200pcs per box. Stock on hand: 0,1000.00,pcs,4602503000009244225,Head Office,0.25,PR-00168,PO-488,,,,,,,,,false,250.00,250.00,entity_level,true,0.00,0.0,0.00,0.000,,250.00,250.00,0.00,Adjustment,,
2025-03-07,4602503000010413335,88,PO-429,Overdue,false,,,,,TNT Best Group Sdn Bhd,4602503000009244225,Head Office,2025-03-07,MYR,1.00,Bill,Cement 50kg,4602503000002163640,T-446,,,,,,Inventory Asset,,30.00,pcs,4602503000009244225,Head Office,22.80,PR-00145,PO-429,,,,,,,,,false,684.00,1444.00,entity_level,true,0.00,0.0,0.00,0.000,,1444.00,1444.00,0.00,Adjustment,,
2025-03-07,4602503000010413335,88,PO-429,Overdue,false,,,,,TNT Best Group Sdn Bhd,4602503000009244225,Head Office,2025-03-07,MYR,1.00,Bill,Concrete Sand,4602503000002163658,T-448,,,,,,Inventory Asset,Packing: 20kg /bag,76.00,pcs,4602503000009244225,Head Office,5.00,PR-00145,PO-429,,,,,,,,,false,380.00,1444.00,entity_level,true,0.00,0.0,0.00,0.000,,1444.00,1444.00,0.00,Adjustment,,
2025-03-07,4602503000010413335,88,PO-429,Overdue,false,,,,,TNT Best Group Sdn Bhd,4602503000009244225,Head Office,2025-03-07,MYR,1.00,Bill,CONCRETE STONE,4602503000003020099,T-503,,,,,,Inventory Asset,Packing: 20kg /bag,76.00,pcs,4602503000009244225,Head Office,5.00,PR-00145,PO-429,,,,,,,,,false,380.00,1444.00,entity_level,true,0.00,0.0,0.00,0.000,,1444.00,1444.00,0.00,Adjustment,,
2025-03-07,4602503000010413857,93,PO-445,Overdue,false,,,,,SB Four Elektrik & Hardware Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,"HDG TRUNKING 2"" X 2"" X L8",4602503000002116893,CO-SD-53,,,,,,Inventory Asset,,200.00,pcs,4602503000009244225,Head Office,41.00,PR-00131,PO-445,,,,,,,,,false,8200.00,8200.00,entity_level,true,0.00,0.0,0.00,0.000,,8200.00,8200.00,0.00,Adjustment,,
2025-03-07,4602503000010417007,101,PO-374,Overdue,false,,,,,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,Inches screw c/w with wall plug 6mm x 2,4602503000002163631,T-445,,,,,,Inventory Asset,200pcs per box,1000.00,pcs,4602503000009244225,Head Office,0.25,PR-00102,PO-374,,,,,,,,,false,250.00,250.00,entity_level,true,0.00,0.0,0.00,0.000,,250.00,250.00,0.00,Adjustment,,
2025-03-07,4602503000010417965,108,PO-371,Overdue,false,,,,,Ew Steel Marketing Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,Deformed Bar,4602503000004112055,SKU-DB-01,,,,,,Inventory Asset,,40.00,pcs,4602503000009244225,Head Office,18.00,PR-00101,PO-371,,,,,,,,,false,720.00,720.00,entity_level,true,0.00,0.0,0.00,0.000,,720.00,720.00,0.00,Adjustment,,
2025-03-07,4602503000010418057,111,PO-367,Overdue,false,,,,,Winstar Solar Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,TILE HOOK #01,4602503000004890317,SLR-CTH-01,,,,,KINGFEELS,Inventory Asset,SLR-CTH-01 (AL6005-T5/SUS304),360.00,pcs,4602503000009244225,Head Office,12.90,PR-00105,PO-367,,,,,,,,,false,4644.00,4644.00,entity_level,true,0.00,0.0,0.00,0.000,,4644.00,4644.00,0.00,Adjustment,,
2025-03-07,4602503000010418663,119,PO-290,Overdue,false,,,,,Helukabel Malaysia Sdn Bhd,4602503000009244225,Head Office,2025-05-06,MYR,1.00,Bill,DC CABLE - Fireproof 1C x 4mm^2(1000 meters/Drum) Black with Red Stripe,4602503000003780285,TC-460,,,,,HELUKABEL,Inventory Asset,Helukabel Solarflex-X HIZ2Z2-K 1 x 4 MM2 Pv Wire EN50618 IE62930 (Black with Red Stripe),4000.00,M,4602503000009244225,Head Office,2.40,PR-00086,PO-290,,,,,,,,,false,9600.00,9600.00,entity_level,true,0.00,0.0,0.00,0.000,,9600.00,9600.00,0.00,Adjustment,,
