Item Name,SKU,Status,Opening Stock,Reorder Level
TEMPERATURE SENSOR FKP6 FORCE CIRCULATION,COMP-000350,Active,4,
"THERMAL FUSE - 100°C, 16A, 250V",PURC-000001,Active,394,
"KINETICO PISTON PARTS - MAIN VALVE SEAL, 80 DURO",7865,Active,317,
"KINETICO INTERNAL CONTROL VALVE PART - PURGE, QUAD, VALVE",8657,Active,336,
"KINETICO HYDRUS VALVE PARTS - IN/OUT ADAPTER, 2"", MNPT",10920,Active,19,
"KINETICO HYDRUS VALVE PARTS - MV PISTON, HYDRUS WITH QUAD",10943,Active,27,
"KINETICO HYDRUS VALVE PARTS - SEALS, O-RING, BACKWASH CONTROL",10967,Active,10,
"KINETICO DISTRIBUTOR - UPPER DRILLED MATTSON, CP213S",16986,Active,14,
"KINETICO HYDRUS VALVE PARTS - SEAT, OVERMOLDED",10942A,Active,27,
"KINETICO EXTERNAL POWER SUPPLY, 120-240V 50/60HZ X 12VDC, UK PLUG",12130,Active,3,
KINETICO HYDRUS VALVE PARTS - ECCENTRIC PIN,10949,Active,19,
KINETICO HYDRUS VALVE PARTS - HYDRUS PISTON SPRING,10964,Active,30,
KINETICO HYDRUS VALVE PARTS - ECCENTRIC ACTUATOR,12303,Active,30,
KINETICO HYDRUS VALVE PARTS - HYDRUS PISTON EXTENSION,12305,Active,30,
"KINETICO HYDRUS VALVE PARTS - SHEET METAL SCREW, #10-12 X 3.5",12306,Active,30,
"KINETICO HYDRUS VALVE PARTS - DISC, CONTROL, GREY LPD",10914B,Active,18,
KINETICO HYDRUS VALVE PARTS - HYDRUS INDICATOR,10927A,Active,40,
"KINETICO HYDRUS VALVE PARTS - DISC, CONTROL, BLK LPD",10954B,Active,19,
"KINETICO HYDRUS VALVE PARTS - PAWL,REGEN DRIVE ASY",10980A,Active,40,
KINETICO GEARS - GEAR #P12 NYLON,7892A,Active,108,
KINETICO GEARS - GEAR #P13 NYLON,7893A,Active,52,
KINETICO HYDRUS VALVE PARTS - HYDRUS CAP O-RING,10928,Active,20,
KINETICO HYDRUS VALVE PARTS - L-6 SEAL,10932,Active,5,
KINETICO HYDRUS VALVE PARTS - L-5B SEAL,10935,Active,5,
"KINETICO HYDRUS VALVE PARTS - L-5A SEAL, NHWBP",10938,Active,5,
KINETICO HYDRUS VALVE PARTS - L-3 SEAL,10945,Active,5,
"KINETICO HYDRUS VALVE PARTS - SEALS, O-RING IN/OUT, 228",10965,Active,26,
KINETICO HYDRUS VALVE PART - HYDRUS QUAD RING,10981,Active,40,
KINETICO HYDRUS VALVE PART - L-1 SEAL,10923A,Active,5,
"KINETICO INTERNAL FLOW CONTROLS - FLOW CONTROL, B/W 6.0 GPM, RED, 2100",1584,Active,74,
"KINETICO INTERNAL FLOW CONTROLS - FLOW CONTROL, B/W 4.0 GPM, BLACK, 2060",1902,Active,280,
CONNECTOR LINK - FOR 2100F MODEL,2846,Active,20,
KINETICO CAP AREA PART - BALANCE PISTON SPRING,5448,Active,89,
"KINETICO SOLITAIRE VALVE - SEAL, MAIN BASE",8620,Active,56,
"KINETICO SOLITAIRE VALVE - K5 FILTER DISC, S/S, LEVEL 1",10781,Active,269,
"KINETICO SOLITAIRE VALVE - SEAT, LEVEL 4",2465A,Active,39,
KINETICO VALVE PARTS - METER DISC #7,1510,Active,0,
"KINETICO SOLITAIRE VALVE - SEAL, DFFR, LSR-BLUE, LEVEL 3",8619,Active,35,
"KINETICO CAP AREA PARTS - CAP SEAL, LSR BLK",8628,Active,18,
"KINETICO SOLITAIRE VALVE - SEAL, D/N, LSR-RED, LEVEL 1",8471,Active,14,
"KINETICO VALVE PARTS - L-2, SEAL, LSR-RED",8630,Active,19,
"KINETICO SOLITAIRE VALVE - SEAL, LSR-RED, LEVEL 4",8632,Active,64,
"KINETICO SEALS - O-RING, 80D-BASE, NPL 231",8925,Active,128,
"KINETICO VALVE PARTS - FLOW CONTROL, BLACK 3.0",1055,Active,572,
KINETICO INTERNAL FLOW CONTROLS - METER-HALF LOUVER NOZZLE,13689,Active,46,
"KINETICO SOLITAIRE VALVE - BALANCE PISTON - CP213F, CP213S, CP216S",14927,Active,96,
KINETICO GEARS - GEAR ALIGNMENT CLIP,11902B,Active,264,
"KINETICO PISTON PART - QUAD RING, 125 PISTON",K1550,Active,150,
"KINETICO VALVE PARTS - DRAIN ELBOW 1/2""",7870,Active,73,
TURBINE REGEN 8 JET,11011A,Active,113,
TURBINE REGEN 10 JET,8781F,Active,38,
"STRETCH FILM - PLASTIC, W500MM X 2KG",PKG-000011,Active,0,
"KINETICO CAP AREA PARTS - CONTROL VALVE, SPRING LOADED",13720A,Active,562,
KINETICO DISTRIBUTOR - UPPER NORYL SNAP-ON,9251,Active,"1,450",
"KINETICO CARTRIDGE – MACH 10"" 5M REUSE 12/CN",11827A,Active,34,
"KINETICO CARTRIDGE – SELECTO SMF IC600 10""",16647,Active,9,
"KINETICO CARTRIDGE – SELECTO SMF IC614 14""",16648,Active,5,
"KINETICO MEDIA – GRANULE ACTIVATED CARBON, 2060F",T-0246,Active,0,
WHITE GRAVEL,T-0248,Active,10,
"KINETICO SOLITAIRE VALVE - 2060F ASSEMBLY, OD, UT +L2, LEVEL 1",11210B,Active,20,
CONNECTOR PIPE 2060F,13711B,Active,50,
KINETICO HYDRUS VALVE PARTS - COMPLETE HEAD VALVE SIMPLEX,H12184,Active,14,
KINETICO HYDRUS VALVE PARTS - COMPLETE HEAD MULTI-TANK,H12180,Active,26,
"TOP MOUNT HUB & LATERAL SYSTEM ASSY. FOR 24"" TANKS",CH5667,Active,7,
"TOP MOUNT & LATERAL SYSTEM ASSY FOR 30"" COMPOSITE TANK, 4"" - 8UN WITH EXTENSION",CH10848,Active,4,
"ADAPTER,FLG,0600X0400,FOR",72868,Active,5,
"TOP MOUNT HUB & LATERAL SYSTEM ASSY FOR 18"" TANKS",CH5666,Active,0,
"KINETICO DISTRIBUTOR - TUBE STOP ASY, 13X54, CP213F, MAC",11360,Active,32,
"KINETICO DISTRIBUTOR - TUBE STOP ASY, 13X54, CP213F, CAR",8322A,Active,0,
"KINETICO PARTS - K5 MANIFOLD ASSEMBLY, WITH TOP COVER",12747,Active,2,
"KINETICO PARTS - MODULE HEAD ASSEMBLY, A200, K2",9440,Active,8,
"KINETICO AIR TANK - PNEUMATIC STORAGE TANK, 3 GALLON, BLACK",9344C,Active,12,
"KINETICO POE SOFTENER- CP213S METERED,FILLED",11190,Active,0,
KINETICO POE SOFTENER - CP213S OD NO (MEDIA),11184,Active,0,
KINETICO CARTRIDGE – K5 PERCHLORATE GUARD,11682,Active,21,
KINETICO CARTRIDGE – K5 PUREFECTA / VIRUS FILTER (12874B),12873B,Active,22,
KINETICO CARTRIDGE – K5 ARSENIC GUARD,11781A,Active,8,
"KINETICO FAUCET – ECONOMY, CHROME",S11450B,Active,43,
"COMPOSITE 4""T BLACK EXT BASE ST LBL CTN/HDT SKID",T-0250,Active,0,
"COMPOSITE 6""T F BLACK EXT BASE MYLAR LABEL SINGLE 36""",T-0251,Active,0,
KINETICO HYDRUS VALVE PARTS - SEAL LEVEL 5A SIMPLEX,10978,Active,5,
"KINETICO, FITTINGS, 3/8 TUBE FAUCET",12939,Active,0,
"TOP MOUNT HUB & LATERAL SYSTEM ASSY. FOR 36"" COMPOSITE TANKS, 4"" - 8UN WITH EXTENSION",CH10849,Active,0,
"KINETICO MEDIA – DURACUBE SALT - RTL, 25kg",5408,Active,5,
KINETICO GEARS - GEAR #1,1522,Active,317,
"KINETICO SOLITAIRE VALVE - INTERLOCK, NORYL ACS, LEVEL 5",9261,Active,51,
"KINETICO TUBING - PE, 1/4""X100' ROLL, BLACK NSF CERTIFIED",8555,Active,0,
INSULATION PIPE ID 1/1/8MM X T3/8MM X L1.83MM,T-0214,Active,0,
INSULATION PIPE ID 5/8MM X T1/2MM X L1.83MM,T-0215,Active,0,
INSULATION PIPE ID 7/8MM X T3/8MM X L1.83MM,T-0216,Active,0,
"PIPE - PE, OD20MM",T-0221,Active,17,
"PIPE - PE, OD32MM",T-0223,Active,11,
"PIPE - COPPER, HARD R290, OD15MM X T0.7MM",RAWM-000023,Active,14,
"PIPE - COPPER, HARD R290, OD22MM X T0.9MM",RAWM-000021,Active,2,
"KINETICO INTERNAL CONTROL VALVE PARTS - PURGE, QUAD, VALVE",1590,Active,700,
"KINETICO VALVE PARTS - CONTROL DISC, LAPD & UT, DFFR ORG FOR 4060S CARBON, MACROLITE",8637,Active,26,
"KINETICO VALVE - DFFR SEAL, LSR BLUE, LEVEL 2",8618,Active,0,
"KINETICO SOLITAIRE VALVE COMPONENTSS - L-3, SEAL, LSR-RED",8631,Active,20,
"KINETICO SOLITAIRE VALVE COMPONENTSS - MAIN BASE, STD, CHECK STEM, ACS",8627,Active,0,
"KINETICO MISC PARTS - ELBOW, 1/44FNPTX3/8T, BRN, 4564 PPG",1840,Active,0,
"SOLENOID VLV,3/4 INLET",8493A,Active,0,
"KINETICO INTERNAL CONTROL VALVE PARTS - CONTROL/DRAIN VALVE SEAL, BLUE, 7869",K8193A,Active,0,
"KINETICO PARTS - RESIN TRAP, INLINE FILTER, 1/14"" TUBE, 100 MESH",12144,Active,0,
"KINETICO POU CARTRIDGE - K5, MAC SHUT-OFF, VOC/LEAD",9307A,Active,0,
KINETICO MACGUARD® 7500 FILTER,4050A,Active,0,
STEEL BAND 12MM X 10M (0.7MM),T-0259,Active,4,
"KINETICO VALVE PART - DFFR STD, LEVEL 2",8603A,Active,2,
"LONG SLEEVE ANCHOR 10MM, 5/16''",T-0256,Active,53,
"WATER HAMMER ARRESTOR 1/2""",T-0261,Active,15,
CONCRETE NAIL 60MM X 2MM,T-0258,Active,353.5,
KINETICO VALVE PARTS - METER DISC #6,1509,Active,10,
POLY REDUCER ELBOW 32 X 20 MM,T-0175,Active,49,
"PVC BUSH 2 X 1 1/4""",T-0227,Active,1,
PVC BUSH 32 X 20 MM,T-0228,Active,43,
KINETICO HYDRUS VALVE PARTS - LEVEL 5B,12294A,Active,5,
KINETICO MACGUARD 7500 HEAD (INCLUDES BRACKET AND SCREWS),12870A,Active,2,
POE FILTER INLET/OUTLET ADAPTOR O-RING,10733,Active,288,
"KINETICO HYDRUS VALVE PARTS - HYDRUS WITH INSERTS, LEVEL 1",10901A,Active,20,
POU DRAIN SADDLE,4806,Active,37,
KINETICO DISTRIBUTOR TUBES - STOP ASY 13X54 UI OR,13424,Active,10,
"TANK, STORAGE TANK ASSEMBLY - 14 GALLON, A200",104170,Active,4,
"KINETICO - FILTER, CP213F AC MN TNK",11255A,Active,8,
"KINETICO SOLITARIRE VALVE - SEAL, D/N, LSR-RED, LEVEL 1",8629,Active,18,
"KINETICO SOLITAIRE VALVE - SEAL, BLACK, MAIN BASE",1730,Active,10,
"SEAL,CONTROL/DRAIN 7869 (BLUE)",8193A,Active,70,
"CONNECTOR PIPE 7"", 2030F",14660,Active,46,
SUMMER 45E HWM-R - 3KW WRAPED BASIC,COMP-006413,Active,4,
SUMMER 45E HWM-R - 3KW CARTON BASIC,COMP-007720,Active,2,
SUMMER 45E HCM - 3KW WRAPED BASIC,COMP-006411,Active,2,
SUMMER 38E HCM - 3KW CARTON BASIC,COMP-006382,Active,2,
SUMMER 68E HCM - 3KW WRAPED BASIC,COMP-006575,Active,2,
SUMMER 34E HCM - 3KW WRAP BASIC,COMP-006282,Active,1,
INSTALLATION KIT RAISER BRACKET – 450L,COMP-000471,Active,0,
MERU MP136 HFM - 3KW WRAPED BASIC,COMP-000231,Active,1,
SUMMER 200E HFM - 3KW CARTON MAX,COMP-007106,Active,1,
"BMI 300L SOLAR WATER HEATER - DIRECT OC[GVAL, 0.45MM], IT[SS304,1.5MM]",COMP-005656,Active,0,
"BMI 300L SOLAR WATER HEATER - INDIRECT OC[AL STUCCO, 0.5MM], IT[SS304, 1.5MM]",COMP-005661,Active,0,
"SOLAR COLLECTOR - MATT BLACK, 1938MM BRAND – SOLAR: BMI,MATERIAL – TRAYBOX: ZNAL",COMP-008029,Active,0,
SUMMER 68E HFM - 3KW WRAP BASIC,COMP-006665,Active,0,
HEAT PUMP HF22 CUSTOMISED,WHP-022-01C,Active,0,
CALORIFIER CUSTOMISED-MP1000 (220G) 9KW,WCT-098-03C,Active,0,
"THERMOSTAT - 1PH, 2KW, 0°C-15°C",S-PART-000457,Active,0,
HEAT PUMP HF30 CUSTOMISED,WHP-030-01C,Active,0,
CALORIFIER CUSTOMISED-MP600G (2724LTR),WCT-137-03C,Active,0,
HEAT PUMP HF45 CUSTOMISED,WHP-045-01C,Active,0,
CALORIFIER CUSTOMISED-MP400G (1800LTR),WCT-137-01C,Active,0,
POWER DISTRIBUTION BOARD,S-PART-000576,Active,0,
HEAT PUMP HF60 CUSTOMISED,WHP-060-01C,Active,0,
CALORIFIER CUSTOMISED-MP1250G,WCT-198-02C,Active,0,
MERU MP300 HFM - 9KW WRAPPED BASIC,,Active,0,
COURIER,BCGS-030,Inactive,,
"SOLAR COLLECTOR - MATT BLACK, 1938MM BRAND – SOLAR: ESTEEL,MATERIAL – TRAYBOX: AL",COMP-008028,Active,0,
"ESTEEL 180L SOLAR WATER HEATER - DIRECT OC[GVAL, 0.45MM], IT[SS304,1.5MM]",COMP-005643,Active,0,
"ESTEEL 300L SOLAR WATER HEATER - DIRECT OC[GVAL, 0.45MM], IT[SS304,1.5MM]",COMP-005658,Active,0,
"ESTEEL 400L SOLAR WATER HEATER - DIRECT OC[GVAL, 0.45MM], IT[SS304,1.5MM]",COMP-005667,Active,0,
"ESTEEL 450L SOLAR WATER HEATER - DIRECT OC[GVAL, 0.45MM], IT[SS304,1.5MM]",COMP-005671,Active,0,
"ESTEEL 180L SOLAR WATER HEATER - DIRECT OC[AL STUCCO, 0.5MM], IT[SS304,1.5MM]",COMP-007109,Active,0,
"ESTEEL 180L SOLAR WATER HEATER - DIRECT OC[AL STUCCO, 0.5MM], IT[SS316,1.5MM]",COMP-007107,Active,0,
CABLE TIE – L8”,PART-000091,Active,0,
"COLD PIPE S – 270L/60G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000136,Active,0,
"COLD PIPE S – 400L/90G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000137,Active,0,
"COLD PIPE J – 180L/40G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000138,Active,0,
"COLD PIPE J – 300L/66G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000139,Active,0,
"HOT PIPE S – 270L/60G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000131,Active,0,
"HOT PIPE S – 400L/90G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000132,Active,0,
